Date,Close,High,Low,Open,Volume
2026-01-28,367.95001220703125,376.75,363.3999938964844,371.29998779296875,5245185
2026-01-29,368.3999938964844,370.0,357.1499938964844,367.45001220703125,7529146
2026-01-30,361.6499938964844,367.79998779296875,359.6000061035156,365.25,4146294
2026-02-02,365.5,369.8500061035156,355.8500061035156,368.95001220703125,4349733
2026-02-03,383.95001220703125,394.04998779296875,379.1499938964844,388.0,6481717
2026-02-04,387.20001220703125,391.3999938964844,380.45001220703125,383.95001220703125,3861744
2026-02-05,376.1499938964844,387.95001220703125,371.5,387.95001220703125,4060005
2026-02-06,380.25,382.0,364.70001220703125,377.6000061035156,5108188
2026-02-09,437.3500061035156,442.95001220703125,395.20001220703125,405.0,73673179
2026-02-10,433.8999938964844,445.0,429.3999938964844,441.0,27651390
2026-02-11,426.95001220703125,435.3500061035156,423.0,433.8999938964844,8218913
2026-02-12,432.5,433.8500061035156,423.1499938964844,430.6499938964844,6967117
2026-02-13,418.04998779296875,429.8999938964844,415.1000061035156,429.8999938964844,6604401
2026-02-16,427.04998779296875,431.75,415.0,418.04998779296875,4983795
2026-02-17,420.8500061035156,428.25,419.04998779296875,425.8500061035156,3627830
2026-02-18,418.3999938964844,422.8500061035156,410.6000061035156,421.0,4686354
2026-02-19,404.75,420.6499938964844,402.3999938964844,420.0,4337971
2026-02-20,401.20001220703125,407.20001220703125,400.0,406.0,4504412
2026-02-23,402.1499938964844,405.8999938964844,398.95001220703125,405.0,3419994
2026-02-24,406.8999938964844,409.70001220703125,399.04998779296875,400.3500061035156,3592400
2026-02-25,405.70001220703125,410.29998779296875,402.3999938964844,409.0,2124454
2026-02-26,407.1000061035156,411.0,402.70001220703125,405.70001220703125,1975252
2026-02-27,410.1000061035156,417.5,405.04998779296875,405.04998779296875,5995568
2026-03-02,401.75,407.95001220703125,390.04998779296875,394.95001220703125,4803685
2026-03-04,393.79998779296875,396.29998779296875,387.3999938964844,394.8500061035156,3256574
2026-03-05,399.79998779296875,402.70001220703125,389.5,397.0,2655249
2026-03-06,395.54998779296875,401.1000061035156,394.25,395.95001220703125,2237896
2026-03-09,389.0,391.8999938964844,382.04998779296875,386.20001220703125,1994640
2026-03-10,392.8500061035156,397.79998779296875,387.20001220703125,392.5,2143619
2026-03-11,390.5,404.79998779296875,388.6000061035156,396.0,3034206
2026-03-12,389.95001220703125,393.6499938964844,378.6000061035156,388.5,3218077
2026-03-13,379.0,389.45001220703125,377.0,388.95001220703125,2576181
2026-03-16,381.6000061035156,386.70001220703125,373.75,379.0,2535411
2026-03-17,383.70001220703125,384.5,375.6000061035156,381.5,2113685
2026-03-18,389.6000061035156,391.1000061035156,382.70001220703125,385.0,2318622
2026-03-19,373.6000061035156,384.20001220703125,370.8999938964844,384.20001220703125,2846590
2026-03-20,382.70001220703125,389.6000061035156,376.1000061035156,376.20001220703125,3043574
2026-03-23,362.70001220703125,378.70001220703125,361.1000061035156,378.70001220703125,3830721
2026-03-24,371.70001220703125,375.20001220703125,364.0,375.0,2901895
2026-03-25,391.8500061035156,397.25,374.5,375.3999938964844,7261892
2026-03-27,388.3500061035156,396.0,383.1000061035156,387.95001220703125,4605634
2026-03-30,375.8999938964844,388.04998779296875,373.3999938964844,385.25,4281892
2026-04-01,387.1000061035156,392.3999938964844,382.95001220703125,385.6000061035156,3247928
2026-04-02,394.3500061035156,395.95001220703125,374.6000061035156,382.0,2915489
2026-04-06,420.3500061035156,421.95001220703125,395.0,395.0,12249798
2026-04-07,414.3500061035156,437.3999938964844,411.8999938964844,435.0,11433396
2026-04-08,445.54998779296875,446.6499938964844,421.1499938964844,433.04998779296875,10391357
2026-04-09,446.1000061035156,449.95001220703125,436.29998779296875,443.3500061035156,5734714
2026-04-10,449.1499938964844,451.54998779296875,442.25,447.0,4195837
2026-04-13,441.6499938964844,446.1000061035156,434.3500061035156,434.8500061035156,2943116
2026-04-15,442.5,452.6000061035156,441.04998779296875,452.0,3880048
2026-04-16,440.29998779296875,448.3999938964844,433.8999938964844,447.6499938964844,4999949
2026-04-17,426.8500061035156,444.3999938964844,415.25,441.0,16926134
2026-04-20,417.5,427.0,415.70001220703125,426.8500061035156,4425676
2026-04-21,415.1000061035156,421.25,414.1000061035156,417.79998779296875,4054202
2026-04-22,414.25,417.1499938964844,411.3999938964844,415.5,3493244
2026-04-23,412.8500061035156,414.70001220703125,407.1000061035156,414.25,3483756
2026-04-24,405.29998779296875,418.0,402.3500061035156,412.79998779296875,2734805
2026-04-27,413.6499938964844,416.20001220703125,406.1499938964844,407.1499938964844,3334416
2026-04-28,412.75,416.79998779296875,411.0,413.6499938964844,1193730
